Language learnability experiment																
Logfile written - 08/28/2019 11:08:13																
Participant ID: 080																
Language: S3																
Computer: 5																
																
Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	7	1	315											80
1	Exposure	2	9	2	90											80
1	Exposure	3	26	4	225											80
1	Exposure	4	18	3	180											80
1	Exposure	5	13	2	330											80
1	Exposure	6	5	1	60											80
1	Exposure	7	10	2	210											80
1	Exposure	8	16	3	135											80
1	Exposure	9	28	4	30											80
1	Exposure	10	25	4	120											80
1	Exposure	11	3	1	360											80
1	Exposure	12	21	3	270											80
1	Exposure	1	13	2	330											80
1	Exposure	2	16	3	135											80
1	Exposure	3	21	3	270											80
1	Exposure	4	9	2	90											80
1	Exposure	5	10	2	210											80
1	Exposure	6	7	1	315											80
1	Exposure	7	25	4	120											80
1	Exposure	8	26	4	225											80
1	Exposure	9	18	3	180											80
1	Exposure	10	5	1	60											80
1	Exposure	11	28	4	30											80
1	Exposure	12	3	1	360											80
1	Guessing	1	18	3	180	9	3	26					18	1		80
1	Guessing	2	10	2	210	9	7	28					7	0		80
1	Guessing	3	28	4	30	3	26	9					28	1		80
1	Guessing	4	25	4	120	21	16	7					25	1		80
1	Guessing	5	21	3	270	13	10	3					3	0		80
1	Guessing	6	9	2	90	13	21	18					9	1		80
1	Guessing	7	3	1	360	5	13	18					3	1		80
1	Guessing	8	16	3	135	21	9	10					16	1		80
1	Guessing	9	26	4	225	18	28	5					26	1		80
1	Guessing	10	7	1	315	18	28	10					7	1		80
1	Guessing	11	5	1	60	10	28	18					5	1		80
1	Guessing	12	13	2	330	5	7	16					13	1		80
1	Guessing	1	10	2	210	28	26	3					10	1		80
1	Guessing	2	16	3	135	9	18	28					9	0		80
1	Guessing	3	25	4	120	13	3	18					25	1		80
1	Guessing	4	28	4	30	9	10	18					28	1		80
1	Guessing	5	13	2	330	7	5	21					21	0		80
1	Guessing	6	5	1	60	18	21	7					5	1		80
