Language learnability experiment																
Logfile written - 09/12/2019 10:37:01																
Participant ID: 091																
Language: B2																
Computer: 5																
																
Round	Task	Trial	Target	Shape	Angle	Distr1	Distr2	Distr3	Distr4	Distr5	Distr6	Distr7	SelectedItem	Correct	Input	Producer
1	Exposure	1	23	4	135											91
1	Exposure	2	15	3	60											91
1	Exposure	3	9	2	45											91
1	Exposure	4	8	2	120											91
1	Exposure	5	11	2	300											91
1	Exposure	6	26	4	270											91
1	Exposure	7	21	3	240											91
1	Exposure	8	16	3	180											91
1	Exposure	9	24	4	210											91
1	Exposure	10	4	1	90											91
1	Exposure	11	5	1	300											91
1	Exposure	12	6	1	360											91
1	Exposure	1	5	1	300											91
1	Exposure	2	21	3	240											91
1	Exposure	3	26	4	270											91
1	Exposure	4	24	4	210											91
1	Exposure	5	23	4	135											91
1	Exposure	6	6	1	360											91
1	Exposure	7	16	3	180											91
1	Exposure	8	11	2	300											91
1	Exposure	9	9	2	45											91
1	Exposure	10	15	3	60											91
1	Exposure	11	4	1	90											91
1	Exposure	12	8	2	120											91
1	Guessing	1	15	3	60	23	16	6					16	0		91
1	Guessing	2	9	2	45	6	23	15					9	1		91
1	Guessing	3	16	3	180	4	23	9					16	1		91
1	Guessing	4	4	1	90	23	15	9					4	1		91
1	Guessing	5	26	4	270	5	21	15					26	1		91
1	Guessing	6	5	1	300	6	23	11					6	0		91
1	Guessing	7	23	4	135	24	9	8					23	1		91
1	Guessing	8	6	1	360	11	21	4					6	1		91
1	Guessing	9	21	3	240	15	11	26					11	0		91
1	Guessing	10	24	4	210	6	8	15					24	1		91
1	Guessing	11	11	2	300	8	5	15					11	1		91
1	Guessing	12	8	2	120	23	11	26					11	0		91
1	Guessing	1	6	1	360	21	11	8					6	1		91
1	Guessing	2	4	1	90	5	9	11					5	0		91
1	Guessing	3	11	2	300	4	21	6					11	1		91
1	Guessing	4	26	4	270	16	8	5					26	1		91
1	Guessing	5	5	1	300	4	8	26					5	1		91
1	Guessing	6	24	4	210	11	15	26					24	1		91
1	Guessing	7	21	3	240	8	15	16					8	0		91
1	Guessing	8	8	2	120	16	15	9					8	1		91
1	Guessing	9	16	3	180	26	11	24					16	1		91
1	Guessing	10	15	3	60	8	16	24					15	1		91
1	Guessing	11	9	2	45	26	11	8					9	1		91
1	Guessing	12	23	4	135	4	15	5					23	1		91
1	Production	1	5	1	300									0	sketu	91
1	Production	2	9	2	45									1	gempt	91
1	Production	3	24	4	210									0	gnts	91
1	Production	4	16	3	180									1	wangsi	91
1	Production	5	11	2	300									0	wangsoe	91
1	Production	6	15	3	60									0	wangsi	91
1	Production	7	8	2	120									0	wangsoe	91
1	Production	8	23	4	135									0	gnt	91
1	Production	9	6	1	360									1	sket	91
1	Production	10	21	3	240									0	wangsi	91
1	Production	11	26	4	270									0	gnts	91
1	Production	12	4	1	90									1	sketu	91
1	Production	1	15	3	60									0	gempt	91
1	Production	2	26	4	270									1	gnt	91
1	Production	3	21	3	240									0	wangsi	91
1	Production	4	6	1	360									1	sket	91
1	Production	5	4	1	90									0	sketoe	91
1	Production	6	9	2	45									0	wangsoe	91
