InputCondition,Origin.GroupLang.ID,GroupSize,StructureBin,StructureScore,Item.ID,Shape,Angle,Word
B1,big-4-6,big,1,0.072597513,1,1,210,ha-ia
B1,big-4-6,big,1,0.072597513,2,1,270,swaa
B1,big-4-6,big,1,0.072597513,3,1,90,hiu
B1,big-4-6,big,1,0.072597513,4,1,330,noni
B1,big-4-6,big,1,0.072597513,5,1,30,ghaia
B1,big-4-6,big,1,0.072597513,6,1,300,fak-toe
B1,big-4-6,big,1,0.072597513,7,1,135,ahma
B1,big-4-6,big,1,0.072597513,9,2,270,pooti
B1,big-4-6,big,1,0.072597513,10,2,150,hehi
B1,big-4-6,big,1,0.072597513,11,2,330,wak-ta
B1,big-4-6,big,1,0.072597513,12,2,30,seefe
B1,big-4-6,big,1,0.072597513,14,2,120,ftio
B1,big-4-6,big,1,0.072597513,16,3,45,fiti
B1,big-4-6,big,1,0.072597513,17,3,315,maima
B1,big-4-6,big,1,0.072597513,19,3,135,mimi
B1,big-4-6,big,1,0.072597513,20,3,240,koi
B1,big-4-6,big,1,0.072597513,21,3,360,tk-a
B1,big-4-6,big,1,0.072597513,22,4,60,kite
B1,big-4-6,big,1,0.072597513,23,4,360,pepepe
B1,big-4-6,big,1,0.072597513,24,4,180,pt
B1,big-4-6,big,1,0.072597513,25,4,315,fik
B1,big-4-6,big,1,0.072597513,27,4,120,ftft
B1,big-4-6,big,1,0.072597513,28,4,225,gtgt
B2,big-10-5,big,2,0.349452503,1,1,150,gesh
B2,big-10-5,big,2,0.349452503,2,1,30,sket
B2,big-10-5,big,2,0.349452503,3,1,210,sktuu
B2,big-10-5,big,2,0.349452503,4,1,90,sketu
B2,big-10-5,big,2,0.349452503,5,1,300,skektsuu
B2,big-10-5,big,2,0.349452503,6,1,360,sket
B2,big-10-5,big,2,0.349452503,7,1,240,sketus
B2,big-10-5,big,2,0.349452503,8,2,120,wangsus
B2,big-10-5,big,2,0.349452503,9,2,45,gempt
